transaction_id,product_id,product_id_dict,customer_id,transaction_date,online_order,order_status,list_price,standard_cost
35,0,10,2171,8/20/2017,False,Approved,"544,05","376,84"
40,0,10,2448,11/28/2017,True,Approved,"544,05","376,84"
55,0,13,3140,9/18/2017,False,Approved,"363,01","290,41"
61,0,18,1839,2/24/2017,False,Approved,"12,01","7,21"
64,0,39,2000,7/8/2017,False,Approved,"499,53","388,72"
83,0,21,3398,4/1/2017,True,Approved,"235,63","125,07"
89,0,18,2682,4/4/2017,True,Approved,"12,01","7,21"
100,0,28,119,7/31/2017,False,Approved,"478,16","298,72"
111,0,22,3320,6/11/2017,True,Approved,"71,16","56,93"
120,0,40,678,6/16/2017,False,Approved,"495,72","297,43"
137,0,50,431,9/23/2017,False,Approved,"1942,61",
160,0,50,3300,8/27/2017,False,Approved,"1656,86",
192,0,3,1614,7/15/2017,True,Approved,"230,91","173,18"
201,0,35,3208,9/5/2017,True,Approved,"533,51","400,13"
272,0,40,2149,4/30/2017,True,Approved,"358,39","215,03"
293,0,23,314,11/19/2017,False,Approved,"227,88","136,73"
367,0,50,1614,3/10/2017,False,Approved,"850,89",
376,0,28,1808,2/9/2017,False,Approved,"478,16","298,72"
400,0,28,552,7/24/2017,True,Approved,"71,49","53,62"
406,0,40,1595,4/17/2017,False,Approved,"358,39","215,03"
407,0,50,2559,6/14/2017,True,Approved,"710,59",
447,0,28,820,6/23/2017,False,Approved,"71,49","53,62"
496,0,13,661,11/8/2017,False,Approved,"363,01","290,41"
513,0,35,1052,11/29/2017,False,Approved,"533,51","400,13"
544,0,3,2734,5/19/2017,True,Approved,"230,91","173,18"
551,0,23,3382,10/15/2017,True,Approved,"227,88","136,73"
558,0,40,3481,2/22/2017,False,Approved,"495,72","297,43"
583,0,35,3053,4/16/2017,False,Approved,"290,62","215,14"
590,0,4,1141,2/16/2017,True,Approved,"569,56","528,43"
600,0,13,964,6/24/2017,False,Approved,"363,01","290,41"
605,0,23,3023,3/23/2017,False,Approved,"227,88","136,73"
624,0,10,1600,8/12/2017,False,Approved,"543,39","407,54"
643,0,22,3245,9/28/2017,False,Approved,"71,16","56,93"
659,0,45,2240,4/18/2017,True,Approved,"60,34","45,26"
675,0,21,1817,7/5/2017,True,Approved,"183,86","137,90"
677,0,50,2609,7/2/2017,False,Approved,"1972,01",
694,0,25,294,6/15/2017,True,Approved,"416,98","312,74"
704,0,35,1874,8/1/2017,False,Approved,"533,51","400,13"
714,0,28,2554,3/20/2017,True,Approved,"100,35","75,26"
720,0,40,1480,10/16/2017,True,Approved,"495,72","297,43"
731,0,35,411,2/9/2017,False,Approved,"533,51","400,13"
742,0,10,2419,11/9/2017,False,Approved,"543,39","407,54"
781,0,50,897,5/10/2017,True,Approved,"311,54",
783,0,4,2453,8/7/2017,False,Approved,"569,56","528,43"
786,0,21,666,4/14/2017,True,Approved,"235,63","125,07"
814,0,35,928,7/24/2017,False,Approved,"290,62","215,14"
